"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2002","3,401.4","3,885.0","3,987.0","2,902.0","2.20M","-11.42%"
"06/01/2002","3,840.1","4,228.0","4,287.0","3,560.0","1.85M","-9.97%"
"05/01/2002","4,265.3","4,468.0","4,497.5","4,211.5","1.36M","-3.09%"
"04/01/2002","4,401.4","4,678.0","4,691.5","4,381.0","1.52M","-5.98%"
"03/01/2002","4,681.2","4,440.0","4,686.0","4,440.0","1.49M","5.27%"
"02/01/2002","4,446.9","4,508.0","4,510.5","4,214.0","1.42M","-0.51%"
"01/01/2002","4,469.6","4,612.5","4,732.0","4,383.0","1.48M","-3.29%"
"12/01/2001","4,621.5","4,470.0","4,748.0","4,334.0","1.23M","3.29%"
"11/01/2001","4,474.3","4,300.0","4,698.0","4,287.0","1.50M","2.92%"
"10/01/2001","4,347.2","4,100.0","4,551.0","3,922.0","1.96M","7.27%"
"09/01/2001","4,052.4","4,703.5","4,735.0","3,460.5","2.22M","-13.67%"
"08/01/2001","4,693.9","5,115.0","5,225.0","4,666.5","1.23M","-7.04%"
"07/01/2001","5,049.6","5,235.0","5,330.0","4,751.0","1.46M","-2.15%"
"06/01/2001","5,160.4","5,429.5","5,556.5","4,968.0","1.43M","-5.27%"
"05/01/2001","5,447.7","5,640.0","5,718.0","5,352.0","1.25M","-3.35%"
"04/01/2001","5,636.8","5,248.0","5,651.0","4,890.0","1.28M","8.29%"
"03/01/2001","5,205.2","5,331.0","5,526.0","4,770.0","1.61M","-3.31%"
"02/01/2001","5,383.4","6,002.0","6,002.0","5,255.0","1.12M","-9.30%"
"01/01/2001","5,935.6","5,941.0","5,982.5","5,619.5","1.17M","0.34%"
"12/01/2000","5,915.6","5,970.0","6,146.0","5,687.0","1.09M","0.14%"
"11/01/2000","5,907.6","6,450.0","6,492.0","5,892.0","1.13M","-7.08%"
"10/01/2000","6,357.9","6,255.0","6,457.0","5,839.0","1.35M","0.91%"
"09/01/2000","6,300.4","6,640.5","6,950.0","6,088.5","1.32M","-5.29%"
"08/01/2000","6,652.1","6,550.0","6,743.0","6,370.0","877.26K","3.40%"
"07/01/2000","6,433.4","6,479.0","6,659.0","6,370.0","880.08K","0.38%"
"06/01/2000","6,409.1","6,400.0","6,784.5","6,392.0","1.11M","0.40%"
"05/01/2000","6,383.6","6,442.0","6,582.0","5,991.0","1.26M","-0.79%"
"04/01/2000","6,434.2","6,323.0","6,470.5","5,732.0","1.20M","2.06%"
"03/01/2000","6,304.4","6,263.0","6,607.0","6,162.0","1.26M","0.88%"
"02/01/2000","6,249.7","5,704.0","6,421.5","5,704.0","1.24M","10.13%"
"01/01/2000","5,674.8","6,030.0","6,116.5","5,403.0","1.34M","-4.87%"
"12/01/1999","5,965.2","5,336.0","5,979.0","5,325.0","1.14M","11.74%"
"11/01/1999","5,338.7","4,901.0","5,444.0","4,840.0","1.32M","9.37%"
"10/01/1999","4,881.4","4,600.0","4,883.5","4,459.5","1.42M","6.95%"
"09/01/1999","4,564.3","4,578.0","4,784.0","4,498.0","1.54M","-1.99%"
"08/01/1999","4,657.0","4,330.0","4,673.0","4,199.0","1.15M","7.12%"
"07/01/1999","4,347.5","4,581.0","4,720.0","4,247.0","1.09M","-4.34%"
"06/01/1999","4,544.9","4,331.0","4,592.0","4,261.0","1.33M","5.21%"
"05/01/1999","4,319.9","4,391.0","4,476.0","4,218.0","1.17M","-2.40%"
"04/01/1999","4,426.3","4,150.0","4,434.0","4,138.0","1.25M","5.88%"
"03/01/1999","4,180.4","4,114.5","4,298.0","3,992.0","1.56M","1.79%"
"02/01/1999","4,107.0","4,305.0","4,382.0","3,958.0","1.36M","-4.18%"
"01/01/1999","4,286.2","3,890.0","4,345.0","3,850.0","2.56M","9.37%"
"12/01/1998","3,918.9","3,819.0","3,920.0","3,590.0","1.99M","0.02%"
"11/01/1998","3,918.0","3,541.0","3,984.0","3,512.0","1.68M","10.59%"
"10/01/1998","3,542.8","3,126.0","3,559.0","2,888.5","2.02M","10.09%"
"09/01/1998","3,218.0","3,485.0","3,849.0","3,208.0","2.02M","-12.91%"
"08/01/1998","3,695.0","4,130.0","4,178.0","3,575.0","1.47M","-11.57%"
"07/01/1998","4,178.6","4,225.0","4,419.0","4,087.0","1.22M","-1.05%"
"06/01/1998","4,222.8","4,039.0","4,268.0","3,940.0","386.01K","3.54%"
"05/01/1998","4,078.5","3,920.0","4,144.5","3,885.5","316.27K","5.89%"
"04/01/1998","3,851.8","3,881.0","3,995.0","3,682.0","363.94K","0.41%"
"03/01/1998","3,835.9","3,431.0","3,863.0","3,328.0","462.12K","12.55%"
"02/01/1998","3,408.3","3,170.0","3,432.0","3,155.0","347.70K","7.96%"
"01/01/1998","3,157.1","3,008.0","3,158.0","2,816.0","405.88K","5.37%"
"12/01/1997","2,996.2","2,864.0","3,003.0","2,796.0","366.53K","5.97%"
"11/01/1997","2,827.4","2,732.0","2,886.0","2,640.0","396.71K","2.15%"
"10/01/1997","2,767.9","3,014.0","3,124.0","2,467.0","529.76K","-7.94%"
"09/01/1997","3,006.5","2,774.0","3,036.5","2,772.5","454.33K","7.80%"
